NAME,OCCUPATION,COUNTRY,EST_IQ_SCORE
Abraham Lincoln,politician,USA,128
Adolf Hitler,politician,Germany,141
Al Gore,politician,USA,134
Albert Einstein,scientist,USA,160
Albrecht von Haller,scientist,Switzerland,190
Alexander Pope,writer,England,180
Sir Andrew J Wiles,scientist,England,170
Andrew Jackson,politician,USA,123
Andy Warhol,artist,USA,86
Anthonis van Dyck,artist,Dutch,155
Antoine Arnauld,philosopher,France,190
Arne Beurling,scientist,Sweden,180
Arnold Schwarzenegger,politician,Austrian,135
Baruch Spinoza,philosopher,Holland,175
Benjamin Franklin,politician,USA,160
Benjamin Netanyahu,politician,Israel,180
Bill Gates,businessman,USA,160
William Jefferson Clinton,politician,USA,137
Blaise Pascal,scientist,France,195
Bobby Fischer,chessplayer,USA,187
Buonarroti Michelangelo,artist,Italy,180
Carl von Linn,scientist,Sweden,165
Charles Darwin,scientist,England,165
Charles Dickens,writer,England,180
Christopher Michael Langan,bouncer,USA,195
Sir Clive Sinclair,scientist,England,159
David Hume,philosopher,Scotland,180
Dr David Livingstone,explorer,Scotland,170
Donald Byrne,chessplayer,Irland,170
Emanuel Swedenborg,philosopher,Sweden,205
Sir Francis Galton,scientist,British,200
Friedrich Wilhelm Joseph von Schelling,philosopher,Germany,190
Galileo Galilei,scientist,Italy,185
Geena Elizabeth Davis,entertainer,USA,140
Georg Friedrich Handel,composer,Germany,170
George Wilhelm Friedrich Hegel,philosopher,Germany,165
George Berkeley,philosopher,Ireland,190
George H Choueiri,businessman,Lebanon,195
Mary Ann Evans,writer,England,160
George Sand ,writer,France,150
George Walker Bush,politician,USA,125
George Washington,politician,USA,118
Gottfried Wilhelm von Leibniz,philosopher,Germany,205
Hans Dolph Lundgren,entertainer,Sweden,160
Hans Christian Andersen,writer,Denmark,145
Hillary Diane Rodham Clinton,politician,USA,140
Hjalmar Horace Greeley Schacht,politician,Germany,143
Honore de Balzac,writer,France,155
Hugo Grotius,jurist,Holland,200
Hypatia of Alexandria,philosopher,Alexandria,170
Immanuel Kant,philosopher,Germany,175
Sir Isaac Newton,scientist,England,190
Jakob Ludwig Felix Mendelssohn Bartholdy,composer,Germany,165
James Cook,Explorer,England,160
James Watt,scientist,Scotland,165
James Howard Woods,entertainer,USA,180
Jayne Mansfield,,USA,149
Jean Marie Auel,writer,Finland,140
Jodie Foster,entertainer,USA,132
Johann Sebastian Bach,composer,Germany,165
Johann Strauss,composer,Germany,170
Johann Wolfgang von Goethe,,Germany,210
Johannes Kepler,scientist,Germany,175
John Adams,politician,USA,137
John F Kennedy,politician,USA,117
John H Sununu,politician,USA,180
John Quincy Adams,politician,USA,153
John Stuart Mill,philosopher,England,200
JohnLocke,philosopher,England,165
Jola Sigmond,teacher,Sweden,161
Jonathan Swift,Writer,England,155
Joseph Haydn,composer,Austria,160
Joseph Louis Lagrange,scientist,France,185
Judith Polgar,chessplayer,Hungary,170
Kim Ung-Yong,,Korea,200
Kimovitch Garry Kasparov,chessplayer,Russia,190
Leonardo da Vinci,scientist,Italy,220
Lord Byron,writer,England,180
Louis Napoleon Bonaparte,politician,France,145
Ludwig van Beethoven,composer,Germany,165
Ludwig Wittgenstein,philosopher,Austria,190
Madame de Stael,writer,France,180
Madonna,entertainer,USA,140
Marilyn vos Savant,writer,USA,186
Martin Luther,philosopher,Germany,170
Miguel de Cervantes,writer,Spain,155
Nicolaus Copernicus,scientist,Poland,160
Nicole Kidman,entertainer,USA,132
Paul Allen,businessman,USA,160
Philip Emeagwali,scientist,Nigeria,190
Phillipp Melanchthon,philosopher,Germany,190
PierreSimon de Laplace,scientist,France,190
Plato,philosopher,Greece,170
Ralph Waldo Emerson,writer,USA,155
Raphael,artist,Italy,170
Rembrandt van Rijn,artist,Holland,155
Ren Descartes,philosopher,France,185
Richard Nixon,politician,USA,143
Richard Wagner,composer,Germany,170
Robert Byrne,chessplayer,Irland,170
Rousseau,writer,France,150
Sarpi,philosopher,Italy,195
Shakira,entertainer,Colombia,140
Sharon Stone,entertainer,USA,154
Sofia Kovalevskaya,scientist,Russia,170
Stephen W Hawking,scientist,England,160
Thomas Chatterton,writer,England,180
Thomas Jefferson,politician,USA,138
Thomas Wolsey,politician,England,200
Truman Cloak,,,165
Ulysses S Grant,politician,USA,110
Voltaire,philosopher,France,190
William James Sidis,,USA,200
William Pitt,politician,England,190
Wolfgang Amadeus Mozart,composer,Austria,165
